race_id,date,spread,pick_ratio,num_horses,num_picks,invest,payout,profit,hit,winner,win_odds,top1_num,top1_odds,top1_hit,top1_payout
202206010101,20220108,12.467,0.25,16,4,1000,1360,360,1,15,6.8,4,3.7,0,0
202206010102,20220108,11.735,0.125,16,2,1000,0,-1000,0,1,15.1,8,1.5,0,0
202206010103,20220108,33.764,0.133,15,2,1000,1290,290,1,5,4.3,11,1.7,0,0
202206010104,20220108,7.091,0.273,11,3,1000,1260,260,1,5,6.3,6,1.7,0,0
202206010105,20220108,22.725,0.222,9,2,1000,1140,140,1,8,1.9,8,1.9,1,190
202206010106,20220108,11.884,0.25,16,4,1100,0,-1100,0,13,53.4,12,3.2,0,0
202206010107,20220108,14.976,0.25,16,4,1000,1140,140,1,12,5.7,5,3.5,0,0
202206010108,20220108,5.918,0.188,16,3,1000,0,-1000,0,8,10.1,11,2.5,0,0
202206010109,20220108,2.877,0.5,10,5,1100,1280,180,1,2,6.4,8,4.1,0,0
202206010110,20220108,15.719,0.222,9,2,1000,1240,240,1,4,3.1,3,2.5,0,0
202206010111,20220108,4.299,0.235,17,4,1100,1590,490,1,8,15.9,4,2.8,0,0
202206010112,20220108,4.046,0.3,10,3,1000,0,-1000,0,8,11.3,3,2.5,0,0
202206010201,20220108,30.997,0.188,16,3,900,1350,450,1,15,4.5,3,4.3,0,0
202206010202,20220108,14.134,0.188,16,3,1100,1260,160,1,2,1.8,2,1.8,1,180
202206010203,20220108,9.7,0.267,15,4,1000,1200,200,1,13,4.0,13,4.0,1,400
202206010204,20220108,15.167,0.188,16,3,1100,1260,160,1,12,2.1,12,2.1,1,210
202206010205,20220108,18.427,0.2,15,3,1000,1240,240,1,6,6.2,10,2.2,0,0
202206010206,20220108,15.017,0.188,16,3,1000,1320,320,1,3,3.3,3,3.3,1,330
202206010207,20220108,22.416,0.188,16,3,1000,0,-1000,0,15,6.2,8,2.9,0,0
202206010208,20220108,5.839,0.214,14,3,1000,1450,450,1,11,2.9,11,2.9,1,290
202206010209,20220108,16.563,0.125,16,2,1000,1120,120,1,16,1.4,16,1.4,1,140
202206010210,20220108,8.594,0.25,16,4,1000,1600,600,1,14,8.0,10,4.1,0,0
202206010211,20220108,7.655,0.312,16,5,1100,1290,190,1,7,4.3,7,4.3,1,430
202206010212,20220108,16.817,0.182,11,2,1000,0,-1000,0,4,4.6,1,2.0,0,0
202206010301,20220108,10.502,0.188,16,3,900,0,-900,0,2,12.1,6,2.1,0,0
202206010302,20220108,29.261,0.188,16,3,1000,1200,200,1,11,2.4,11,2.4,1,240
202206010303,20220108,40.752,0.188,16,3,1000,1050,50,1,2,3.5,7,3.2,0,0
202206010304,20220108,22.035,0.154,13,2,1000,0,-1000,0,1,15.0,3,2.0,0,0
202206010305,20220108,13.327,0.25,16,4,1100,1360,260,1,3,3.4,3,3.4,1,340
202206010306,20220108,5.045,0.286,14,4,1100,1440,340,1,11,7.2,12,3.0,0,0
202206010307,20220108,17.77,0.25,16,4,1100,0,-1100,0,9,11.5,10,3.4,0,0
202206010308,20220108,14.16,0.2,15,3,1000,0,-1000,0,4,13.6,6,3.6,0,0
202206010309,20220108,6.712,0.25,12,3,1000,0,-1000,0,2,15.7,6,1.9,0,0
202206010310,20220108,7.99,0.231,13,3,1000,1440,440,1,1,3.6,1,3.6,1,360
202206010311,20220108,4.119,0.25,16,4,1000,1720,720,1,4,4.3,4,4.3,1,430
202206010312,20220108,31.768,0.143,14,2,1000,0,-1000,0,12,4.6,4,2.5,0,0
202206010401,20220108,34.4,0.125,16,2,1000,0,-1000,0,10,14.5,8,1.8,0,0
202206010402,20220108,26.595,0.188,16,3,1000,1340,340,1,5,6.7,15,1.9,0,0
202206010403,20220108,53.694,0.133,15,2,1000,0,-1000,0,10,29.4,13,2.0,0,0
202206010404,20220108,21.095,0.125,16,2,1000,1600,600,1,8,4.0,2,2.6,0,0
202206010405,20220108,31.73,0.176,17,3,1000,1300,300,1,17,2.6,17,2.6,1,260
202206010406,20220108,15.061,0.182,11,2,1000,1020,20,1,7,1.7,7,1.7,1,170
202206010407,20220108,18.841,0.188,16,3,1000,1080,80,1,15,3.6,12,2.6,0,0
202206010408,20220108,8.62,0.188,16,3,1000,1120,120,1,6,1.6,6,1.6,1,160
202206010409,20220108,11.154,0.214,14,3,1100,0,-1100,0,8,19.2,9,2.5,0,0
202206010410,20220108,11.904,0.2,15,3,1100,0,-1100,0,8,8.6,9,2.4,0,0
202206010411,20220108,12.0,0.25,16,4,900,0,-900,0,8,7.1,3,4.3,0,0
202206010412,20220108,18.818,0.188,16,3,1000,1280,280,1,11,3.2,11,3.2,1,320
202207010101,20220108,25.185,0.143,14,2,1000,1350,350,1,14,4.5,5,1.7,0,0
202207010102,20220108,26.314,0.133,15,2,1000,1410,410,1,8,4.7,14,1.6,0,0
202207010103,20220108,27.814,0.214,14,3,1000,1280,280,1,6,3.2,6,3.2,1,320
202207010104,20220108,3.988,0.25,8,2,1000,1120,120,1,2,1.4,2,1.4,1,140
202207010105,20220108,9.019,0.214,14,3,1000,1350,350,1,12,2.7,12,2.7,1,270
202207010106,20220108,4.848,0.2,10,2,1000,1260,260,1,2,1.8,2,1.8,1,180
202207010107,20220108,12.519,0.214,14,3,900,1240,340,1,11,3.1,11,3.1,1,310
202207010108,20220108,50.239,0.1,10,1,1000,0,-1000,0,6,3.4,3,1.3,0,0
202207010109,20220108,15.306,0.188,16,3,1000,1200,200,1,9,4.0,3,3.8,0,0
202207010110,20220108,6.69,0.231,13,3,1000,1260,260,1,9,2.1,9,2.1,1,210
202207010111,20220108,4.939,0.25,16,4,1000,0,-1000,0,7,13.9,12,3.5,0,0
202207010112,20220108,31.054,0.125,16,2,1000,0,-1000,0,13,15.3,15,1.6,0,0
202207010201,20220108,38.514,0.125,16,2,1000,1320,320,1,9,2.2,9,2.2,1,220
202207010202,20220108,14.925,0.267,15,4,1000,1260,260,1,1,6.3,3,3.4,0,0
202207010203,20220108,17.569,0.214,14,3,1000,0,-1000,0,11,45.3,9,2.7,0,0
202207010204,20220108,11.136,0.267,15,4,1000,1200,200,1,14,6.0,6,2.7,0,0
202207010205,20220108,7.269,0.176,17,3,1000,1050,50,1,8,1.5,8,1.5,1,150
202207010206,20220108,16.486,0.188,16,3,900,1000,100,1,13,5.0,16,2.1,0,0
202207010207,20220108,23.667,0.143,14,2,1000,1170,170,1,4,3.9,14,1.7,0,0
