race_id,date,spread,pick_ratio,num_horses,num_picks,invest,payout,profit,hit,winner,win_odds,top1_num,top1_odds,top1_hit,top1_payout,venue,surface,distance,dist_band,race_class
202306010101,20230107,34.306,0.125,16,2,1000,1260,260,1,14,1.8,14,1.8,1,180,中山,,0,sprint(~1200),未勝利
202306010102,20230107,28.835,0.125,16,2,1000,0,-1000,0,8,13.8,12,2.7,0,0,中山,,0,sprint(~1200),未勝利
202306010103,20230107,13.288,0.188,16,3,1100,0,-1100,0,16,15.9,1,4.0,0,0,中山,,0,sprint(~1200),新馬
202306010104,20230107,22.018,0.188,16,3,1000,0,-1000,0,7,15.9,1,3.7,0,0,中山,,0,sprint(~1200),1勝
202306010105,20230107,14.71,0.188,16,3,1000,0,-1000,0,1,6.9,3,3.7,0,0,中山,,0,sprint(~1200),未勝利
202306010106,20230107,3.775,0.3,10,3,1100,1200,100,1,5,4.0,4,2.1,0,0,中山,,0,sprint(~1200),1勝
202306010107,20230107,6.248,0.25,16,4,1000,0,-1000,0,11,18.0,9,3.6,0,0,中山,,0,sprint(~1200),2勝
202306010108,20230107,19.517,0.2,15,3,1000,1200,200,1,11,3.0,11,3.0,1,300,中山,,0,sprint(~1200),2勝
202306010109,20230107,18.602,0.167,12,2,1000,1200,200,1,9,1.5,9,1.5,1,150,中山,,0,sprint(~1200),3勝
202306010110,20230107,7.294,0.231,13,3,1000,1050,50,1,13,3.5,10,2.1,0,0,中山,,0,sprint(~1200),OP
202306010111,20230107,6.429,0.235,17,4,1000,1350,350,1,3,4.5,3,4.5,1,450,中山,,0,sprint(~1200),OP
202306010112,20230107,18.577,0.143,14,2,1000,1120,120,1,1,1.4,1,1.4,1,140,中山,,0,sprint(~1200),2勝
202306010201,20230107,55.51,0.125,16,2,1000,1260,260,1,6,1.8,6,1.8,1,180,中山,,0,sprint(~1200),未勝利
202306010202,20230107,24.785,0.188,16,3,1000,0,-1000,0,4,6.5,1,2.2,0,0,中山,,0,sprint(~1200),未勝利
202306010203,20230107,16.219,0.188,16,3,1000,1140,140,1,4,3.8,7,2.8,0,0,中山,,0,sprint(~1200),新馬
