race_id,date,spread,pick_ratio,num_horses,num_picks,invest,payout,profit,hit,winner,win_odds,top1_num,top1_odds,top1_hit,top1_payout,venue,surface,distance,dist_band,race_class
202506010101,20250105,48.773,0.125,16,2,1000,1250,250,1,11,2.5,11,2.5,1,250,中山,,0,短距離(~1200),未勝利
202506010102,20250105,25.252,0.188,16,3,1100,1460,360,1,6,7.3,13,2.3,0,0,中山,,0,短距離(~1200),未勝利
202506010103,20250105,12.658,0.188,16,3,1000,0,-1000,0,12,8.9,7,2.5,0,0,中山,,0,短距離(~1200),新馬
202506010104,20250105,14.906,0.125,16,2,1000,1140,140,1,1,5.7,5,1.8,0,0,中山,,0,短距離(~1200),1勝
202506010105,20250105,28.093,0.188,16,3,1000,1440,440,1,6,7.2,1,2.2,0,0,中山,,0,短距離(~1200),未勝利
202506010106,20250105,5.984,0.222,18,4,1000,1200,200,1,4,2.0,4,2.0,1,200,中山,,0,短距離(~1200),新馬
202506010107,20250105,8.233,0.25,16,4,1000,0,-1000,0,16,30.8,12,3.2,0,0,中山,,0,短距離(~1200),1勝
202506010108,20250105,13.376,0.25,16,4,1100,1260,160,1,11,4.2,3,2.9,0,0,中山,,0,短距離(~1200),2勝
202506010109,20250105,18.082,0.188,16,3,1000,0,-1000,0,15,13.8,13,3.0,0,0,中山,,0,短距離(~1200),3勝
202506010110,20250105,19.555,0.2,15,3,1000,1080,80,1,9,1.8,9,1.8,1,180,中山,,0,短距離(~1200),OP
202506010111,20250105,8.629,0.222,18,4,1000,1680,680,1,2,8.4,15,4.4,0,0,中山,,0,短距離(~1200),OP
202506010112,20250105,19.188,0.188,16,3,1000,0,-1000,0,5,7.3,14,3.2,0,0,中山,,0,短距離(~1200),2勝
202506010201,20250105,32.848,0.188,16,3,1100,1410,310,1,4,4.7,13,2.6,0,0,中山,,0,短距離(~1200),未勝利
202506010202,20250105,64.578,0.125,16,2,1000,1380,380,1,16,2.3,16,2.3,1,229,中山,,0,短距離(~1200),未勝利
202506010203,20250105,31.023,0.125,16,2,1000,0,-1000,0,16,9.5,15,1.6,0,0,中山,,0,短距離(~1200),未勝利
202506010204,20250105,13.368,0.25,16,4,1000,0,-1000,0,14,211.9,1,4.3,0,0,中山,,0,短距離(~1200),1勝
202506010205,20250105,9.177,0.188,16,3,1000,1060,60,1,9,5.3,10,2.3,0,0,中山,,0,短距離(~1200),新馬
202506010206,20250105,34.41,0.111,18,2,1000,0,-1000,0,16,48.9,6,2.0,0,0,中山,,0,短距離(~1200),未勝利
202506010207,20250105,14.461,0.167,12,2,1000,0,-1000,0,7,36.5,11,1.6,0,0,中山,,0,短距離(~1200),1勝
202506010208,20250105,9.073,0.214,14,3,1000,0,-1000,0,6,11.6,12,2.0,0,0,中山,,0,短距離(~1200),OP
202506010209,20250105,16.4,0.188,16,3,1100,1520,420,1,16,7.6,14,1.9,0,0,中山,,0,短距離(~1200),2勝
